date,player_name,team,opponent,position,stat,edge,grade,bucket,is_valid,is_combo,total_points,total_conditions,pass_rate,hitrate,hitrate_source,season_avg,games_played,ud_line,ud_over_odds,ud_under_odds,adaptive_multiplier,n_zone_conditions,n_playtype_conditions,details
2026-05-10,Anthony Edwards,MIN,SAS,PF,rebounds,under,A,valid,True,False,1,1,0.996,0.541,nba_api_gamelog,5.0,61,5.5,-141,+114,0.9955,0,0,
2026-05-10,Anthony Edwards,MIN,SAS,PF,assists,under,A,valid,True,False,1,1,0.853,0.508,nba_api_gamelog,3.7,61,4.5,+103,-127,0.8528,0,0,
2026-05-10,De'Aaron Fox,SAS,MIN,SF,reb+ast,under,B,watchlist_combo,False,True,2,2,0.932,0.458,combo_average,10.0,72,8.5,-143,+117,0.9318,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-10,Jalen Brunson,NYK,PHI,PF,reb+ast,over,B,watchlist_combo,False,True,2,2,0.998,0.48,combo_average,10.1,74,9.5,-112,-112,0.9985,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-10,Anthony Edwards,MIN,SAS,PF,reb+ast,under,A,valid_combo,True,True,2,2,0.924,0.524,combo_average,8.7,61,10.5,-112,-112,0.9242,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-10,Tyrese Maxey,PHI,NYK,PF,reb+ast,under,B,watchlist_combo,False,True,2,2,0.932,0.443,combo_average,10.7,70,10.5,+100,-122,0.9317,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-11,Cade Cunningham,DET,CLE,SG,rebounds,under,B,watchlist,False,False,1,1,1.0,0.469,nba_api_gamelog,5.5,64,5.5,+103,-127,1.0107,0,0,
2026-05-11,James Harden,CLE,DET,SG,rebounds,under,A,valid,True,False,1,1,0.996,0.543,nba_api_gamelog,4.8,70,4.5,-145,+118,0.9955,0,0,
2026-05-11,James Harden,CLE,DET,SG,assists,under,A,valid,True,False,1,1,0.853,0.514,nba_api_gamelog,8.0,70,6.5,-134,+108,0.8528,0,0,
2026-05-11,James Harden,CLE,DET,SG,points,under,D,other,False,False,0,0,0.0,0.4,nba_api_gamelog,23.6,70,18.5,-112,-112,0.9757,0,0,
2026-05-11,Shai Gilgeous-Alexander,OKC,LAL,SG,rebounds,under,B,watchlist,False,False,1,1,1.0,0.471,nba_api_gamelog,4.3,68,4.5,+109,-137,1.0107,0,0,
2026-05-11,Luka Dončić,LAL,OKC,SG,rebounds,over,B,watchlist,False,False,1,1,1.0,0.484,nba_api_gamelog,7.7,64,,,,1.0608,0,0,
2026-05-11,Shai Gilgeous-Alexander,OKC,LAL,SF,points,over,D,other,False,False,0,0,0.0,0.412,nba_api_gamelog,31.1,68,28.5,-112,-112,0.9991,0,0,
2026-05-11,Luka Dončić,LAL,OKC,SF,points,under,D,other,False,False,0,0,0.0,0.516,nba_api_gamelog,33.5,64,,,,0.9605,0,0,
2026-05-11,Luka Dončić,LAL,OKC,SF,assists,under,B,watchlist,False,False,1,1,0.868,0.422,nba_api_gamelog,8.3,64,,,,0.8681,0,0,
2026-05-11,Cade Cunningham,DET,CLE,PF,points,over,D,other,False,False,0,0,0.0,0.562,nba_api_gamelog,23.9,64,26.5,-127,+103,0.9891,0,0,
2026-05-11,Cade Cunningham,DET,CLE,PF,assists,over,A+,valid,True,False,1,1,0.941,0.578,nba_api_gamelog,9.9,64,9.5,+109,-134,0.9414,0,0,
2026-05-11,Shai Gilgeous-Alexander,OKC,LAL,PF,assists,under,B,watchlist,False,False,1,1,0.868,0.471,nba_api_gamelog,6.6,68,6.5,-137,+111,0.8681,0,0,
2026-05-11,James Harden,CLE,DET,SG,reb+ast,under,A,valid_combo,True,True,2,2,0.924,0.528,combo_average,12.8,70,11.5,-125,+102,0.9242,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-11,Shai Gilgeous-Alexander,OKC,LAL,SG,reb+ast,under,B,watchlist_combo,False,True,2,2,0.939,0.471,combo_average,10.9,68,11.5,+107,-134,0.9394,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-17,Cade Cunningham,DET,CLE,SG,rebounds,under,B,watchlist,False,False,1,1,1.0,0.469,nba_api_gamelog,5.5,64,5.5,+125,-154,1.0107,0,0,
